Institution Number,PI Last Name,PI First Name,PI Department Name,Investigator ALL Last Name,Investigator ALL First Name,Investigator ALL Dept or Unit,Sponsor Name,Project Title,Requested Project Period Start Date,Requested Project Period End Date,Project Total Requested Sponsor Costs (entire project),Current Proposal Status,Current Proposal Status Date,ARRA Funding,Sponsor Award Number
PT103058,Spiegel,Sarah,Biochemistry and Molecular Biology,Kukreja~Spiegel~,Rakesh~Sarah~,Cardiology - Internal Medicine~Biochemistry and Molecular Biology~,National Institute of Allergy and Infectious Diseases/NIH/DHHS,Training in Functional Lipidomics in Cardiovascular and Respiratory Diseases,1-Feb-09,31-Jan-14,1406862,Proposal Not Awarded,16-Sep-10,N,NA
PT103063,Essah,Paulina,General Medicine and Primary Care,Essah~,Paulina~,General Medicine and Primary Care~,Klarman Family Foundation,Do gastrointestinal satiety peptides and insulin play a role in women with polycystic ovary syndrome and bulimia nervosa,1-Jun-08,31-May-10,400000,Proposal Not Awarded,3-Jun-08,N,NA
PT103064,Anscher,Mitchell,Radiation Oncology,Anscher~Holdford~,Mitchell~Diane~,Radiation Oncology~Massey Cancer Center~,University of Michigan,Using Blood Markers to Predict Radiation-Induced Lung Toxicity.,1-Dec-08,30-Nov-13,138889,Proposal Not Awarded,8-Jan-09,N,NA
PT103066,Fisher,Paul,Human and Molecular Genetics,Sarkar~Fisher~,Devanand~Paul~,Human and Molecular Genetics~Human and Molecular Genetics~,Marshall University,Ultrasound Guided Viral mda-7/IL-24 Delivery in Prostate Cancer,1-Dec-08,30-Nov-13,558750,Proposal Not Awarded,10-Sep-10,N,NA
PT103067,Bukaveckas,Paul,Biology,Bukaveckas~,Paul~,Biology~,National Science Foundation,Collaborative Research - Linking dietary constraints on zooplankton productions,1-Jul-08,30-Jun-11,298985,Proposal Not Awarded,6-Feb-08,N,NA
PT103068,Pittman,Roland,Physiology and Biophysics,Nugent~Pittman~,William~Roland~,Physiology and Biophysics~Physiology and Biophysics~,American Heart Association (Mid-Atlantic Affiliate),The Influence of Nitric Oxide on Oxygen supply and Demand in the Microcirculation of Striated Muscle,1-Jul-08,30-Jun-10,40000,Proposal Not Awarded,16-Jan-09,N,NA
PT103069,Graves,Paul,Radiation Oncology,Sankala Bauer~Graves~,Heidi~Paul~,Massey Cancer Center~Radiation Oncology~,American Heart Association (Mid-Atlantic Affiliate),Regulation of the Argonaute Family of Proteins,1-Jul-08,30-Jun-12,308000,Award In Closeout,18-Oct-12,N,0835471N
PT103070,Sica,Domenic,Nephrology,Trimiew~Sica~Gehr~Vinnikova~,Rhonda~Domenic~Todd~Anna~,Nephrology~Nephrology~Nephrology~Nephrology~,Novartis Pharmaceuticals Corporation,NA,1-Feb-08,31-Jan-11,124447,Award In Closeout,13-Jul-12,N,CLAF237A23138
PT103072,Weistroffer,Heinz,Information Systems,Weistroffer~,Heinz~,Information Systems~,National Science Foundation,Colloaborative Research: Construction of a Model for Successful Information Technology Investments.,1-Jun-08,31-May-10,190352,Proposal Not Awarded,16-Jul-08,N,NA
PT103073,Manjili,Masoud,Microbiology and Immunology,Manjili~,Masoud~,Massey Cancer Center~,Department of Defense,Autoreactivity determines T cell survival or apoptosis while alloreactivity determines T-cell effector functions: implications for immunotherapy of breast c,1-Aug-08,31-Jul-09,111750,Proposal Not Awarded,21-May-08,N,BC075320
PT103074,Brophy,Donald,Pharmacotherapy & Outcomes Science,Gehr~Brophy~,Todd~Donald~,Nephrology~Pharmacotherapy & Outcomes Science~,University Health Network,Fish Oil Inhibition of Stenosis of Hemodialysis Grafts (FISH) Study,1-Mar-08,28-Feb-10,28322,Award In Closeout,22-Jun-11,N,67812
PT103075,Vu,Huan,Surgery,Vu~,Huan~,Surgery~,Department of Defense,A comparison of pericytes_ VEGF-C_ aNG-1_ aNG-2_ AND PDGF-B effectiveness on lymphatic endothelial cell growth and recruitment in vitro.,1-Jul-08,30-Jun-09,111750,Proposal Not Awarded,21-May-08,N,NA
PT103076,Roesser,James,Biochemistry and Molecular Biology,Roesser~,James~,Biochemistry and Molecular Biology~,Department of Defense,Translational Regulation of eIF4E Containing Complexes.,1-Sep-08,31-Aug-09,111750,Proposal Not Awarded,21-May-08,N,BC075524
PT103079,Thoma,Colleen,SOE Spec Ed and DP Dept,Scott~Kneebone~Pannozzo~Davidsen~Xu~Thoma~Whitenack~Fisher~France~,Laron~John~Gina~Dianne~Yaoying~Colleen~Joy~Robert~Tiffany~,SOE Spec Ed and DP Dept~History~SOE Foundations Dept~SOE Spec Ed and DP Dept~SOE Spec Ed and DP Dept~SOE Spec Ed and DP Dept~Community Education~Biology~SOE Deans Office Dean's Suite~,Department of Education,Project PREP (Preparing Reflective Evidence-Based Practitioners),1-Aug-08,30-Sep-14,499057,Award No Cost Extension 1,17-Oct-13,N,H325T080015-12 Action 10
PT103083,Luzar,Alenka,Chemistry,Bratko~Luzar~,Dusan~Alenka~,Chemistry~Chemistry~,University of California,Molecular Basis of Competitive Hydrophobic and Hydrophilic Biointeractions.,5-Dec-08,4-Dec-12,703380,Proposal Not Awarded,11-Mar-09,N,NA
PT103084,Jena,Puru,Physics,Jena~,Puru~,Physics~,Department of Energy,Coated and Supported Metal Clusters.,1-Sep-08,31-Aug-11,559803,Proposal Not Awarded,5-Feb-09,N,NA
PT103085,Dewey,William,Pharmacology and Toxicology,Dewey~,William~,Pharmacology and Toxicology~,ProTherapeutics Pte Ltd,Pharmacological Evaluation of Prohanin,13-Feb-08,12-Feb-10,0,Award In Closeout,13-Jul-12,N,NA
PT103086,Master Agreement,IS,Office of Research,Lee~Zaydan~Master Agreement~Felton~,Margaret~Islam~IS~Warren~,Neurology~Neurology~Office of Research~Neurology~,Teva Neurosciences_ Inc.,Master Clinical Trial Agreement,1-Oct-08,30-Sep-10,404397,Award In Closeout,4-Sep-14,N,NA
PT103092,Deb,Swati,Biochemistry and Molecular Biology,Deb~,Swati~,Biochemistry and Molecular Biology~,Department of Defense,Cytoskeletal reorganization by MDM2 in breast cancer.,1-Oct-08,30-Sep-09,105120,Proposal Not Awarded,21-May-08,N,NA
PT103093,DePalma,Michael,Physical Medicine and Rehabilitation,DePalma~Schroeder~Alicea~,Michael~Charles~Justin~,Physical Medicine and Rehabilitation~Physical Medicine and Rehabilitation~Physical Medicine and Rehabilitation~,Stryker Biotech,A Phase 1 Study to Evaluate OP-1 (SB0405) Injected into One or Two Lumbar Intervertebral Disc(s) in Patients with Symptomatic Degenerative Disc Disease,12-May-08,31-Jan-11,257025,Award In Closeout,13-Jun-11,N,5-DDD-001
PT103094,Farrell,Nicholas,Chemistry,Farrell~Moran~,Nicholas~Richard~,Chemistry~Pharmacology and Toxicology~,National Institutes of Health,Transdisciplinary Training in the Chemical Biology of Cancer,1-Jul-09,30-Jun-14,1935527,Proposal Not Awarded,10-Oct-08,N,NA
PT103095,Siminoff,Laura,Social and Behavioral Health,Siminoff~,Laura~,Social and Behavioral Health~,Medical University of South Carolina,Perceived Discrimination and the Health of Minority Elders.,1-Jul-08,30-Jun-13,446499,Proposal Not Awarded,16-Apr-08,N,NA
PT103096,Whitehurst-Cook,Michelle,Family Medicine and Population Health,Mitchell~Dumke~Whitehurst-Cook~Sarrett~Mazmanian~Bohanon~Terry~Alford~Purcell~Kennedy~Nye~Joyner~Alpino~Wills~,John~Erika~Michelle~David~Paul~Linda~Wayne~Susan~Karen~Regina~Christopher~Dallice~Robert~Jane~,NA,Health Resources and Services Administration/DHHS,Area Health Education Centers Point of Service (formerly Model State Supported Area Health Education Center),1-Sep-08,31-Aug-11,3341829,Award In Closeout,4-Sep-12,N,5U77HP03047-12-00
PT103097,Felton,Warren,Neurology,Felton~,Warren~,Neurology~,Mitsubishi Pharma Corporation,A Phase1_ Double-Blind_ Placebo-Controlled_ Ascending-Dose_ Clinical Study Investigating the Safety_ Tolerablility and Pharmacokinetics of MP-124 in Acute_ Ischemic Stroke Patients,13-Jun-08,30-Apr-13,270469,Award In Closeout,28-Jun-13,N,MP-124-A01
PT103099,Deb,Sumitra,Biochemistry and Molecular Biology,Graves~Deb~,Paul~Sumitra~,Radiation Oncology~Biochemistry and Molecular Biology~,Department of Defense,Targeting mutant p53-binding proteins to derail oncogenic progression,1-Oct-08,30-Sep-09,111750,Proposal Not Awarded,28-Feb-12,N,NA
PT103100,Bandyopadhyay,Supriyo,Electrical and Computer Engineering,Bertino~Atkinson~Bandyopadhyay~El-Shall~McLeskey~,Massimo~Gary~Supriyo~Mohamed~James~,Physics~Electrical and Computer Engineering~Electrical and Computer Engineering~Chemistry~Mechanical Engineering~,National Science Foundation,MRI: Acquisition of an Electron Microscope for Nanolithography and Nano-Imaging,1-Jul-08,30-Jun-11,386960,Proposal Not Awarded,16-Jul-08,N,NA
PT103101,Grover,Amelia,Surgery,Grover~Yannie~,Amelia~Paul~,Surgery~Internal Medicine~,Department of Defense,Lobular Neoplasia: Is it a marker of a Synchronous Cancer or Premalignant,1-Oct-08,30-Sep-09,111157,Proposal Not Awarded,21-May-08,N,NA
PT103104,Kukreja,Rakesh,Cardiology - Internal Medicine,Kukreja~,Rakesh~,Cardiology - Internal Medicine~,University of Louisville,Preclinical Consortium to Facilitate Translation of Cardioprotective Therapies.,1-Dec-08,30-Nov-13,1201749,Proposal Not Awarded,28-Jul-10,N,NA
PT103105,Kinsey,Billy,Center for Public Policy,Kinsey~,Billy~,Center for Public Policy~,Virginia Economic Development Partnership,Evaluation of Client Services_ 2007-2008,25-Jan-08,15-Jul-10,4000,Award Closed,27-Feb-13,N,NA
PT103106,Rodriguez-Agudo,Daniel,Internal Medicine,Rodriguez-Agudo~,Daniel~,Gastroenterology - Internal Medicine~,National Institutes of Health,Sterol transporters StarD4 and StarD5 in cholesterol/bile acids homeostasis.,1-Jul-08,30-Jun-13,388800,Proposal Not Awarded,16-Jan-09,N,NA
PT103109,Dick,Danielle,Psychiatry,Dick~Riley~,Danielle~Brien~,Psychiatry~Psychiatry~,University of Illinois at Chicago,Genetic and Environmental Influences on Affective Instability and Mood Disorders,1-Dec-08,30-Nov-13,692600,Proposal Not Awarded,14-Sep-10,N,NA
PT103115,Lichtman,Aron,Pharmacology and Toxicology,Ross~Wise~Cravatt~Lichtman~Wiley~Razdan~Mechoulam~Pertwee~DiMarzo~Rosenoff~,Ruth~Laura~Benjamin~Aron~Jenny~Raj~Raphael~Roger~Vincenzo~Stephen~,Pharmacology & Toxicology~Pharmacology and Toxicology~Cell Biology~Pharmacology and Toxicology~Pharmacology and Toxicology~Office of the CEO~Hebrew University of Jerusalem~Biomedical Sciences~Napoli~Medical Oncology~,National Institute on Drug Abuse/NIH/DHHS,Endogenous Cannabinoids and Brain Function,1-Dec-08,30-Nov-13,6633622,Award No Cost Extension 1,28-Feb-14,N,5P01DA009789-16 Revised
PT103116,Khanna,Shiv,Physics,Khanna~,Shiv~,Physics~,Department of the Air Force,Cluster Assembled Materials for Nanoenergetic Applications and Catalysis,1-Jan-09,31-Dec-11,319572,Award Closed,5-Dec-12,N,FA9550-09-1-0371-P00003
PT103117,Farley,Reuben,Mathematics and Applied Mathematics,Blount~Singleton~Emerson-Stonnell~Taylor~Whitenack~Murphy~Haver~Bosher~Farley~Ellington~Weiss~McNeil~Campbell~Pitt~,David~Judith~Sharon~Dewey~Joy~Karen~William~William~Reuben~Aimee~Iris~Phillip~Patricia~Loren~,NA,National Science Foundation,R&D: Researching the Expansion of K-5 Mathematics Specialist Program into Rural Systems,1-Mar-08,28-Feb-12,4000000,Proposal Not Awarded,19-Sep-08,N,NA
PT103121,Dupree,Jeffrey,Anatomy and Neurobiology,Pomicter~Shroff~Dupree~,Anthony~Seema~Jeffrey~,Anatomy and Neurobiology~Anatomy and Neurobiology~Anatomy and Neurobiology~,National Multiple Sclerosis Society,Maintaining Nfl55 in the paranode and internode,1-Oct-08,30-Sep-11,491978,Proposal Not Awarded,17-Sep-10,N,NA
PT103122,Chin,Christopher,SOE Teach Lrng VALRC,Chin~Reed~Emblidge~Oakley~,Christopher~Mary~Mark~Victoria~,SOE Teach Lrng VALRC~SOE Spec Ed and DP Dept~SOE Deans Office Dean's Suite~none~,Department of Education,Supporting and Ensuring Early Language and Literacy Success (SEELLS),1-Sep-08,11-Mar-13,4494120,Award In Closeout,6-Nov-13,N,S359B080019-4
PT103123,Broaddus,William,Neurosurgery,Broaddus~,William~,Neurosurgery~,American Association of Neurological Surgeons,Volume Distribution of Amido-Black-Labeled Albumin Following Convetion- Enhanced Delivery Within Vasogenic Edema.,1-Jul-08,31-Aug-08,2500,Award Archived,22-Oct-12,N,NA
PT103126,Ritter,Joseph,Pharmacology and Toxicology,Guo~Ritter~Gerk~,Tai~Joseph~Phillip~,Pharmacology and Toxicology~Pharmacology and Toxicology~Pharmaceutics~,California Table Grape Commission,Metabolism_ transport and anti-inflammatory effects of grape polyphenols in colon,1-Aug-08,31-Jul-09,25000,Proposal Not Awarded,23-May-11,N,NA
PT103127,Zhou,Huiping,Microbiology and Immunology,Zhou~,Huiping~,Microbiology and Immunology~,Jeffress,Mechanisms of the anti-inflammatory effects of glycyrrhizin on inflammatory bowel disease.,1-Jul-08,30-Jun-11,50000,Award Closed,27-Nov-13,N,J-918
PT103128,Sica,Domenic,Nephrology,Sica~Levy~,Domenic~Mark~,Nephrology~Surgery~,CVRx_ Inc.,Rheos Pivotal Trial,4-Aug-08,3-Aug-13,256694,Award No Cost Extension 2,4-Dec-13,N,CVRx 360009 Mod 2
PT103129,Peberdy,Mary,Cardiology - Internal Medicine,Dziekonski~Peberdy~,Andrzej~Mary~,Cardiology - Internal Medicine~Cardiology - Internal Medicine~,CardioKine Inc.,The BALANCE Study (Treatment of HyponatrEmia BAsed onLixivAptan in NYHA Class III-IV Cardiac Patient Evaluation),30-May-08,30-Jun-11,69745,Award In Closeout,13-Jun-11,N,CK-LX3401
PT103132,Seago,Brenda,Deans Office - Medicine,Seago~,Brenda~,Deans Office - Medicine~,Southern Group on Educational Affairs,Pelvic Examination Skills Taught with a Pelvic Exam Simulator and with Genital Teaching Associates,7-Jan-08,8-Oct-08,3000,Award Closed,26-Nov-13,N,NA
PT103133,Barrett,John,Hematology/Oncology - Internal Medicine,Barrett~,John~,Hematology/Oncology - Internal Medicine~,University of Pennsylvania,Hemophilia Regional Diagnostic Center,1-Oct-07,30-Sep-08,67936,Award In Closeout,24-Aug-09,N,548260
PT103134,Bristol,Molly,Pharmacology and Toxicology,Bristol~Gewirtz~,Molly~David~,Pharmacology and Toxicology~Pharmacology and Toxicology~,Department of the Army,Modulation of radiation-induced senescence and proliferative recovery,1-Oct-08,30-Sep-11,95013,Award Closed,12-Feb-14,N,W81XWH-09-1-0020 P00001
PT103136,Kalsi,Gursharan,Psychiatry,Reimers~Riley~Kendler~Kalsi~,Mark~Brien~Kenneth~Gursharan~,Psychiatry~Psychiatry~Psychiatry~Psychiatry~,Alcohol Beverage Medical Research Foundation,Pathway Anaylsis of the Glutamatergic System in Alcohol dependence and alcohol related phenotypes,1-Jun-08,1-Jun-10,99844,Proposal Not Awarded,30-May-08,N,NA
PT103137,Cecil,Jane,Internal Medicine,Adams~Moritz~Cecil~Connors~Camana~,Shameka~Piper~Jane~Gail~Debbie~,Financial Aid~Internal Medicine~Infectious Disease~Internal Medicine~Internal Medicine~,University of Pittsburgh,Virginia Local Performance Site of the Pennsylvania/ Mid-Atlantic Aids Education and Training Center,1-Jul-08,30-Jun-09,606518,Award In Closeout,22-Jun-11,N,2332
PT103139,Williamson,Jeffrey,Radiation Oncology,Evans~Arthur~Williamson~,Joshua~Douglas~Jeffrey~,Radiation Oncology~Radiation Oncology~Radiation Oncology~,Department of Defense,Statistical image reconstruction for computed tomography-guided accelerated partial breast brachytherapy,1-Sep-08,31-Aug-11,95232,Proposal Not Awarded,21-May-08,N,NA
PT103141,Throckmorton,Amy,Mechanical Engineering,Throckmorton~,Amy~,Mechanical Engineering~,National Science Foundation,BRIGE: Reversing the Fontan Paradox: Univentricular Circulation with Mechanical Cavopulmonary Assist,1-Aug-08,31-Jul-10,172317,Award Closed,4-Apr-13,N,EEC-0823383
PT103143,Marconi,Richard,Microbiology and Immunology,Marconi~,Richard~,Microbiology and Immunology~,Pfizer Inc._ U.S. Pharmaceuticals Group,Global Lyme Disease Vaccine Project,12-Jun-08,28-Feb-11,499693,Award In Closeout,13-Jul-12,N,NA
PT103144,Salloum,Fadi,Cardiology - Internal Medicine,Salloum~Kukreja~,Fadi~Rakesh~,Cardiology - Internal Medicine~Cardiology - Internal Medicine~,National Institutes of Health,The Role of Sildenafil in Attenuation of Heart Failure,1-Feb-09,31-Jan-13,823589,Proposal Not Awarded,31-Jul-08,N,NA
PT103145,Mian,Omar,Microbiology and Immunology,Mian~Ginder~,Omar~Gordon~,Microbiology and Immunology~Hematology/Oncology - Internal Medicine~,Department of Defense,The Role of the Methyl-DNA Binding Domain Protein 2 (MBD2) in the Progression of Breast Cancer,1-Sep-08,31-Aug-11,96464,Proposal Not Awarded,28-May-08,N,BC083066
PT103146,Lyall,Vijay,Physiology and Biophysics,Lyall~,Vijay~,Physiology and Biophysics~,Philip Morris Management Corp.,Identification of Novel Bitter Taste Receptors for Nicotine in Taste Receptor Cells and Their Interactions with Menthol,1-Apr-08,31-Mar-10,349992,Proposal Not Awarded,15-Jun-11,N,NA
PT103147,Godder,Kamar,Pediatrics,Godder~,Kamar~,Pediatrics~,Genentech_ Inc.,A Phase III_ Open-Label_ Single-Arm Study of Tenecteplase for Restoration of Function in Dysfunctional Central Venous Access Catheters,23-May-08,30-Nov-09,46552,Award In Closeout,13-Jul-12,N,N3699g
PT103148,Evans,Ronald,Health and Human Performance,Evans~,Ronald~,Health and Human Performance~,Charles City County Public Schools,Charles City All-Stars Grant,25-Dec-07,24-Dec-08,13000,Award Archived,22-Oct-12,N,NA
PT103150,Windle,Jolene,Human and Molecular Genetics,Windle~,Jolene~,Human and Molecular Genetics~,University of Pittsburgh,Role of p62 in Bone Marrow Microenvironment on Myeloma,1-Dec-08,30-Nov-13,448154,Proposal Not Awarded,26-Jun-09,N,NA
PT103152,Gewirtz,David,Pharmacology and Toxicology,Gewirtz~Zhang~,David~Yan~,Pharmacology and Toxicology~Medicinal Chemistry Pharmacy~,Department of Defense,Antagonists of the CCR5 chemokine receptor as antimetastatic agents for the treatment of breast cancer.,1-Sep-08,31-Aug-10,562956,Proposal Not Awarded,27-Aug-08,N,BC076206
PT103153,Svikis Pickens,Dace,Psychology,Sepulveda~Thacker~Svikis Pickens~,Allison~Charles~Dace~,Psychiatry~Wilder School of Government and Public Affairs~Psychology~,George Mason University,Assisting Virginia Department of Corrections on Implementing EBP,1-Sep-07,31-Jul-08,103056,Proposal Not Awarded,9-Nov-10,N,NA
PT103154,Vonesh,James,Biology,Vonesh~,James~,Biology~,National Geographic Society,Assessing the sustainability of harvesting endemic chameleons: Intergrating land-use and harvesting patterns with species-specific demography.,1-Sep-08,29-Sep-12,20000,Award In Closeout,13-Feb-13,N,NGS C154-08
PT103155,Sun,Shumei,Biostatistics,Siervogel~Daniels~Arslanian~Sun~,Roger~Stephen~Silva~Shumei~,Community Health~Pediatrics~Endocrinology~Biostatistics~,National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS,Childhood Precursors for Adult Metabolic Syndrome,1-Nov-07,31-Jul-12,1210201,Award Archived,15-Apr-13,N,5R01DK071485-06R
PT103156,Linker,Julie,Psychiatry,Velez~Turfboer~Cohen~Linker~Oswald~,Natikki~Jessica~Robert~Julie~Donald~,Psychiatry~Office of Research~Psychiatry~Psychiatry~Psychiatry~,Faison School,A Review of Best Practices and the Evidence Base for Effective Independent,1-Nov-07,1-May-08,30107,Award Archived,22-Oct-12,N,NA
PT103157,Eissenberg,Thomas,Psychology,Eissenberg~,Thomas~,Psychology~,University of Memphis,Responding to the Changing Tobacco Epidemic in the Eastern Mediterranean Region,30-Sep-07,31-Aug-08,215206,Award Closed,12-Mar-14,N,5R01DA024876-04
PT103158,Hurley,Robert,Health Administration,Hurley~,Robert~,Health Administration~,Pennsylvania State University_ The,Regional Quality Survey Planning Grant,15-Nov-07,17-Apr-08,8227,Award In Closeout,25-Aug-09,N,Subaward No. 3604-VCU-RWJF-3273
PT103159,Desai,Umesh,Medicinal Chemistry Pharmacy,Thakkar~Desai~,Jay~Umesh~,Medicinal Chemistry Pharmacy~Medicinal Chemistry Pharmacy~,Jeffress,Cellular Anti-Tumor Effects of Non-Saccharide Anticoagulants.,1-Jul-08,30-Jun-09,30000,Proposal Not Awarded,7-Jul-08,N,NA
PT103160,Ross,Gracious,Pharmacology and Toxicology,Ross~,Gracious~,Pharmacology and Toxicology~,National Institutes of Health,Pharmacological Effects of Opiates on Enteric Neurons,1-Dec-08,30-Nov-13,934293,Proposal Not Awarded,15-Sep-10,N,NA
PT103161,Morales,Johanna,Microbiology and Immunology,Morales~,Johanna~,Biology~,Department of the Army,The Role of Myeloid-Derived Suppressor Cells in the Immunotherapy of HER-2neu BC083048,1-Oct-08,30-Sep-10,63696,Award Archived,5-Jul-12,N,W81XWH-08-1-0733
PT103162,Orelove,Fred,SOE Spec Ed and DP PPD,Lynn~Orelove~,Constance~Fred~,SOE Spec Ed and DP PPD~SOE Spec Ed and DP PPD~,George Mason University,Visual Impairments Consortium Licensure Programs,1-Oct-07,30-Sep-08,24604,Award Archived,15-Apr-13,N,872-62619-H027A070107
PT103163,Pidaparti,Ramana,Mechanical Engineering,Pidaparti~,Ramana~,Mechanical Engineering~,National Science Foundation,Modeling Respiratory Airway Mechanics for Cellular Inflammation Induced,1-Sep-08,31-Aug-11,308557,Proposal Not Awarded,17-Jun-08,N,NA
PT103166,Kregel,John,SOE Spec Ed and DP RRTC,Schall~Kregel~,Carol~John~,Off-Campus Instruction Provost~SOE Spec Ed and DP RRTC~,Grafton School_ Inc.,Virginia Autism Resource Center Training and Technical Assistance Partnership,1-Mar-08,30-Jun-09,49149,Award Closed,29-Apr-13,N,NA
PT103168,Kester,Karen,Biology,Kester~,Karen~,Biology~,University of South Carolina,Testing the Roles of Green Leaf_ Prefromed_ and Inducible Plant Emissions in Attraction of Parasitod,1-Jul-08,30-Aug-11,249777,Proposal Not Awarded,15-Jan-09,N,NA
PT103170,Woolf,Steven,Family Medicine and Population Health,Zimmerman~Mitchell~Woolf~,Emily~Steven~Steven~,Sociology & Antropology~Family Medicine and Population Health~Family Medicine and Population Health~,Kellogg (W. K.) Foundation,The Status of Societal Distress in the United States,1-Jul-08,31-Oct-10,285000,Award In Closeout,24-Jun-11,N,P3008553
PT103171,Garman,Gregory,Biology,Viverette~Shuart~Ciminelli~Garman~,Catherine~William~Jennifer~Gregory~,Center for Environmental Studies~Center for Environmental Studies~Center for Environmental Studies~Biology~,National Council for Science and the Environment,Time Sensitivity of Priority Habitats (2C),1-Jun-08,31-May-09,142153,Proposal Not Awarded,26-Jan-09,N,NA
PT103173,Marmarou,The Estate of A,Neurosurgery,Marmarou~,The Estate of A~,Neurosurgery~,Johns Hopkins University,Clot Lysis: Evaluating Accelerated Resolution of Intraventricular Hemorrhage,7-Jul-08,30-Jun-09,758897,Proposal Not Awarded,23-Jan-09,N,NA
PT103175,Menke,Nathan,No Home Department,Menke~,Nathan~,No Home Department~,National Institutes of Health,Computational Modeling of the Acute Wound Healing Process,1-Jan-08,31-Dec-10,847854,Proposal Not Awarded,5-Aug-08,N,NA
PT103177,Anzalone,Marie,Occupational Therapy,Anzalone~Thacker~Lane~Oswald~,Marie~Leroy~Shelly~Donald~,Occupational Therapy~Nursing~Occupational Therapy~Psychiatry~,Autism Speaks,Sensory Modulation Disorder in Preschoolers with Autism: Neurophysiology and Intervention Effects,1-Jul-08,1-Jul-11,454927,Proposal Not Awarded,6-Jan-09,N,NA
PT103178,Koc,Muammer,Mechanical Engineering,Koc~,Muammer~,Mechanical Engineering~,National Science Foundation,GOALI: Collaborative Research Investigations on Micro-channel Arrays on Large Metallic Surfaces-Tool Life and Surface Quality Issues in Micro-embossing of Fuel Cell Plates,1-Jun-08,30-May-11,242294,Proposal Not Awarded,14-May-08,N,NA
PT103179,Evans,Ronald,Health and Human Performance,Evans~,Ronald~,Health and Human Performance~,American Society for Metabolic & Bariatric Surgery,Metabolic and Cardiovascular Disease Risk Reduction Following Gastric Bypass Surgery: The Role of Endothelial Progenitor Cells in Vascular Helath.,1-Jul-08,30-Jun-10,48427,Award In Closeout,13-Feb-13,N,NA
PT103180,Aggarwal,Arpita,Internal Medicine,Aggarwal~,Arpita~,General Medicine and Primary Care~,American Association for Cancer Research,Colorectal Cancer Screening Amongst Patients with Mental Illness,1-Jul-08,30-Jun-10,95711,Proposal Not Awarded,6-Nov-08,N,NA
PT103181,Beanland,Kevin,Mathematics and Applied Mathematics,Beanland~,Kevin~,Mathematics and Applied Mathematics~,National Science Foundation,Virginia Operator Theory and Complex Analysis Meeting [VOTCAM],1-May-08,1-May-11,9000,Award Archived,22-Oct-12,N,824858
PT103182,Hindle,Michael,Pharmaceutics,Francioni-Proffitt~Hindle~,Donna~Michael~,Deans Office - Pharmacy~Pharmaceutics~,International Academy of Compounding Pharmacists,The quality of compounded pharmaceutical products:,1-Jul-08,30-Jun-09,94848,Proposal Not Awarded,15-Jan-09,N,NA
PT103183,Wang,Ju,Computer Science,Wang~,Ju~,Computer Science~,National Science Foundation,Collaborative Research: Distributed Sensing Network for Wildfire Detection: Sensor Deployment and Optimization.,1-Sep-08,31-Mar-11,125000,Proposal Not Awarded,12-Jun-08,N,NA
PT103184,Moore,Mary,Survey and Evaluation Research Laboratory,Braden~Moore~,Terell~Mary~,Survey and Evaluation Research Laboratory~Survey and Evaluation Research Laboratory~,American Lung Association,Data Entry and Reporting og Adult and Child Surveys for ALA Open Airways for Schools and Asthma 101,1-Feb-08,30-Sep-09,4260,Award Archived,15-Apr-13,N,ALAASTMA08
PT103185,Moore,Mary,Survey and Evaluation Research Laboratory,Stafford~Moore~,Candace~Mary~,Survey and Evaluation Research Laboratory~Survey and Evaluation Research Laboratory~,Science Museum of Virginia,Science Museum of Virginia Evaluation of SOL Program,1-Feb-08,30-Jun-08,5650,Award Archived,22-Oct-12,N,SMVSOL08
PT103187,Throckmorton,Amy,Mechanical Engineering,Throckmorton~,Amy~,Mechanical Engineering~,University of Virginia,Noninvasive External Counterpulsation for Infants and Children with Heart Failure,1-Apr-08,31-Mar-09,20920,Proposal Not Awarded,21-Jul-10,N,NA
PT103188,McHugh,Mark,Chemical Engineering,Huvard~McHugh~,Gary~Mark~,Chemical Engineering~Chemical Engineering~,General Atomics,Smart Microsensor Arrays,15-Feb-08,31-Jan-09,237168,Award Archived,15-Apr-13,N,4500009398
PT103189,Bertino,Massimo,Physics,Bertino~Segre~Leventis~,Massimo~Carlo~Nicholas~,Physics~Physics~Chemistry~,National Science Foundation,Simple and versatile fabrication of high aspect ration components,1-Jul-08,30-Jun-11,448942,Proposal Not Awarded,15-Jan-09,N,825243
PT103190,Yoder,Tera,SOE Spec Ed and DP PPD,Yoder~,Tera~,SOE Spec Ed and DP PPD~,Virginia Department of Education,School by School Evaluation,2-Jan-08,30-Sep-08,63800,Agreement to Sponsor for Execution,25-Feb-08,N,E080111-680-052
PT103191,Yoder,Tera,SOE Spec Ed and DP PPD,Valenti~Yarbrough~TBD~Yoder~,Rachel~Dana~~Tera~,SOE Spec Ed and DP PPD~SOE Spec Ed and DP PPD~TBD~SOE Spec Ed and DP PPD~,Virginia Department of Social Services,Technical Assistance to Americorps Programs,1-Feb-08,18-Dec-08,29700,Award Archived,30-Jun-11,N,CVS-08-050
